id,category,question,expected_checks
24,"margin","From today margin data, which actions can help me reduce slow-moving items without hurting customer demand?","references low-margin products, recommends pricing/cost actions, flags risks, no invented SKUs"
25,"margin","From this week margin data, which actions can help me increase revenue without hurting customer demand?","references low-margin products, recommends pricing/cost actions, flags risks, no invented SKUs"
26,"margin","From this week margin data, which actions can help me improve margin without hurting customer demand?","references low-margin products, recommends pricing/cost actions, flags risks, no invented SKUs"
27,"margin","From this week margin data, which actions can help me avoid stockouts without hurting customer demand?","references low-margin products, recommends pricing/cost actions, flags risks, no invented SKUs"
28,"margin","From this week margin data, which actions can help me reduce slow-moving items without hurting customer demand?","references low-margin products, recommends pricing/cost actions, flags risks, no invented SKUs"
29,"margin","From last 7 days margin data, which actions can help me increase revenue without hurting customer demand?","references low-margin products, recommends pricing/cost actions, flags risks, no invented SKUs"
30,"margin","From last 7 days margin data, which actions can help me improve margin without hurting customer demand?","references low-margin products, recommends pricing/cost actions, flags risks, no invented SKUs"
31,"margin","From last 7 days margin data, which actions can help me avoid stockouts without hurting customer demand?","references low-margin products, recommends pricing/cost actions, flags risks, no invented SKUs"
32,"margin","From last 7 days margin data, which actions can help me reduce slow-moving items without hurting customer demand?","references low-margin products, recommends pricing/cost actions, flags risks, no invented SKUs"
33,"margin","From this month margin data, which actions can help me increase revenue without hurting customer demand?","references low-margin products, recommends pricing/cost actions, flags risks, no invented SKUs"
34,"margin","From this month margin data, which actions can help me improve margin without hurting customer demand?","references low-margin products, recommends pricing/cost actions, flags risks, no invented SKUs"
35,"margin","From this month margin data, which actions can help me avoid stockouts without hurting customer demand?","references low-margin products, recommends pricing/cost actions, flags risks, no invented SKUs"
36,"margin","From this month margin data, which actions can help me reduce slow-moving items without hurting customer demand?","references low-margin products, recommends pricing/cost actions, flags risks, no invented SKUs"
37,"margin","From last month margin data, which actions can help me increase revenue without hurting customer demand?","references low-margin products, recommends pricing/cost actions, flags risks, no invented SKUs"
38,"margin","From last month margin data, which actions can help me improve margin without hurting customer demand?","references low-margin products, recommends pricing/cost actions, flags risks, no invented SKUs"
39,"margin","From last month margin data, which actions can help me avoid stockouts without hurting customer demand?","references low-margin products, recommends pricing/cost actions, flags risks, no invented SKUs"
40,"margin","From last month margin data, which actions can help me reduce slow-moving items without hurting customer demand?","references low-margin products, recommends pricing/cost actions, flags risks, no invented SKUs"
41,"stock","Using today inventory signals, what should I prioritize to increase revenue?","references low-stock items/reorder levels, proposes replenishment priorities, includes operational risk"
42,"stock","Using today inventory signals, what should I prioritize to improve margin?","references low-stock items/reorder levels, proposes replenishment priorities, includes operational risk"
43,"stock","Using today inventory signals, what should I prioritize to avoid stockouts?","references low-stock items/reorder levels, proposes replenishment priorities, includes operational risk"
44,"stock","Using today inventory signals, what should I prioritize to reduce slow-moving items?","references low-stock items/reorder levels, proposes replenishment priorities, includes operational risk"
45,"stock","Using this week inventory signals, what should I prioritize to increase revenue?","references low-stock items/reorder levels, proposes replenishment priorities, includes operational risk"
46,"stock","Using this week inventory signals, what should I prioritize to improve margin?","references low-stock items/reorder levels, proposes replenishment priorities, includes operational risk"
47,"stock","Using this week inventory signals, what should I prioritize to avoid stockouts?","references low-stock items/reorder levels, proposes replenishment priorities, includes operational risk"
48,"stock","Using this week inventory signals, what should I prioritize to reduce slow-moving items?","references low-stock items/reorder levels, proposes replenishment priorities, includes operational risk"
49,"stock","Using last 7 days inventory signals, what should I prioritize to increase revenue?","references low-stock items/reorder levels, proposes replenishment priorities, includes operational risk"
50,"stock","Using last 7 days inventory signals, what should I prioritize to improve margin?","references low-stock items/reorder levels, proposes replenishment priorities, includes operational risk"
51,"stock","Using last 7 days inventory signals, what should I prioritize to avoid stockouts?","references low-stock items/reorder levels, proposes replenishment priorities, includes operational risk"
52,"stock","Using last 7 days inventory signals, what should I prioritize to reduce slow-moving items?","references low-stock items/reorder levels, proposes replenishment priorities, includes operational risk"
53,"stock","Using this month inventory signals, what should I prioritize to increase revenue?","references low-stock items/reorder levels, proposes replenishment priorities, includes operational risk"
54,"stock","Using this month inventory signals, what should I prioritize to improve margin?","references low-stock items/reorder levels, proposes replenishment priorities, includes operational risk"
55,"stock","Using this month inventory signals, what should I prioritize to avoid stockouts?","references low-stock items/reorder levels, proposes replenishment priorities, includes operational risk"
56,"stock","Using this month inventory signals, what should I prioritize to reduce slow-moving items?","references low-stock items/reorder levels, proposes replenishment priorities, includes operational risk"
57,"stock","Using last month inventory signals, what should I prioritize to increase revenue?","references low-stock items/reorder levels, proposes replenishment priorities, includes operational risk"
58,"stock","Using last month inventory signals, what should I prioritize to improve margin?","references low-stock items/reorder levels, proposes replenishment priorities, includes operational risk"
59,"stock","Using last month inventory signals, what should I prioritize to avoid stockouts?","references low-stock items/reorder levels, proposes replenishment priorities, includes operational risk"
60,"stock","Using last month inventory signals, what should I prioritize to reduce slow-moving items?","references low-stock items/reorder levels, proposes replenishment priorities, includes operational risk"
61,"promo","What promotion plan for today can increase revenue using our actual POS performance?","grounds recommendation in top products and trend, avoids fabricated campaign metrics, includes fallback when data missing"
62,"promo","What promotion plan for today can improve margin using our actual POS performance?","grounds recommendation in top products and trend, avoids fabricated campaign metrics, includes fallback when data missing"
63,"promo","What promotion plan for today can avoid stockouts using our actual POS performance?","grounds recommendation in top products and trend, avoids fabricated campaign metrics, includes fallback when data missing"
64,"promo","What promotion plan for today can reduce slow-moving items using our actual POS performance?","grounds recommendation in top products and trend, avoids fabricated campaign metrics, includes fallback when data missing"
65,"promo","What promotion plan for this week can increase revenue using our actual POS performance?","grounds recommendation in top products and trend, avoids fabricated campaign metrics, includes fallback when data missing"
66,"promo","What promotion plan for this week can improve margin using our actual POS performance?","grounds recommendation in top products and trend, avoids fabricated campaign metrics, includes fallback when data missing"
67,"promo","What promotion plan for this week can avoid stockouts using our actual POS performance?","grounds recommendation in top products and trend, avoids fabricated campaign metrics, includes fallback when data missing"
68,"promo","What promotion plan for this week can reduce slow-moving items using our actual POS performance?","grounds recommendation in top products and trend, avoids fabricated campaign metrics, includes fallback when data missing"
69,"promo","What promotion plan for last 7 days can increase revenue using our actual POS performance?","grounds recommendation in top products and trend, avoids fabricated campaign metrics, includes fallback when data missing"
70,"promo","What promotion plan for last 7 days can improve margin using our actual POS performance?","grounds recommendation in top products and trend, avoids fabricated campaign metrics, includes fallback when data missing"
71,"promo","What promotion plan for last 7 days can avoid stockouts using our actual POS performance?","grounds recommendation in top products and trend, avoids fabricated campaign metrics, includes fallback when data missing"
72,"promo","What promotion plan for last 7 days can reduce slow-moving items using our actual POS performance?","grounds recommendation in top products and trend, avoids fabricated campaign metrics, includes fallback when data missing"
73,"promo","What promotion plan for this month can increase revenue using our actual POS performance?","grounds recommendation in top products and trend, avoids fabricated campaign metrics, includes fallback when data missing"
74,"promo","What promotion plan for this month can improve margin using our actual POS performance?","grounds recommendation in top products and trend, avoids fabricated campaign metrics, includes fallback when data missing"
75,"promo","What promotion plan for this month can avoid stockouts using our actual POS performance?","grounds recommendation in top products and trend, avoids fabricated campaign metrics, includes fallback when data missing"
76,"promo","What promotion plan for this month can reduce slow-moving items using our actual POS performance?","grounds recommendation in top products and trend, avoids fabricated campaign metrics, includes fallback when data missing"
77,"promo","What promotion plan for last month can increase revenue using our actual POS performance?","grounds recommendation in top products and trend, avoids fabricated campaign metrics, includes fallback when data missing"
78,"promo","What promotion plan for last month can improve margin using our actual POS performance?","grounds recommendation in top products and trend, avoids fabricated campaign metrics, includes fallback when data missing"
79,"promo","What promotion plan for last month can avoid stockouts using our actual POS performance?","grounds recommendation in top products and trend, avoids fabricated campaign metrics, includes fallback when data missing"
80,"promo","What promotion plan for last month can reduce slow-moving items using our actual POS performance?","grounds recommendation in top products and trend, avoids fabricated campaign metrics, includes fallback when data missing"
81,"product_mix","For today, how should I adjust product mix to increase revenue based on real checkout behavior?","references top products + weak performers, proposes mix changes, notes uncertainty boundaries"
82,"product_mix","For today, how should I adjust product mix to improve margin based on real checkout behavior?","references top products + weak performers, proposes mix changes, notes uncertainty boundaries"
83,"product_mix","For today, how should I adjust product mix to avoid stockouts based on real checkout behavior?","references top products + weak performers, proposes mix changes, notes uncertainty boundaries"
84,"product_mix","For today, how should I adjust product mix to reduce slow-moving items based on real checkout behavior?","references top products + weak performers, proposes mix changes, notes uncertainty boundaries"
85,"product_mix","For this week, how should I adjust product mix to increase revenue based on real checkout behavior?","references top products + weak performers, proposes mix changes, notes uncertainty boundaries"
86,"product_mix","For this week, how should I adjust product mix to improve margin based on real checkout behavior?","references top products + weak performers, proposes mix changes, notes uncertainty boundaries"
87,"product_mix","For this week, how should I adjust product mix to avoid stockouts based on real checkout behavior?","references top products + weak performers, proposes mix changes, notes uncertainty boundaries"
88,"product_mix","For this week, how should I adjust product mix to reduce slow-moving items based on real checkout behavior?","references top products + weak performers, proposes mix changes, notes uncertainty boundaries"
89,"product_mix","For last 7 days, how should I adjust product mix to increase revenue based on real checkout behavior?","references top products + weak performers, proposes mix changes, notes uncertainty boundaries"
90,"product_mix","For last 7 days, how should I adjust product mix to improve margin based on real checkout behavior?","references top products + weak performers, proposes mix changes, notes uncertainty boundaries"
91,"product_mix","For last 7 days, how should I adjust product mix to avoid stockouts based on real checkout behavior?","references top products + weak performers, proposes mix changes, notes uncertainty boundaries"
92,"product_mix","For last 7 days, how should I adjust product mix to reduce slow-moving items based on real checkout behavior?","references top products + weak performers, proposes mix changes, notes uncertainty boundaries"
93,"product_mix","For this month, how should I adjust product mix to increase revenue based on real checkout behavior?","references top products + weak performers, proposes mix changes, notes uncertainty boundaries"
94,"product_mix","For this month, how should I adjust product mix to improve margin based on real checkout behavior?","references top products + weak performers, proposes mix changes, notes uncertainty boundaries"
95,"product_mix","For this month, how should I adjust product mix to avoid stockouts based on real checkout behavior?","references top products + weak performers, proposes mix changes, notes uncertainty boundaries"
96,"product_mix","For this month, how should I adjust product mix to reduce slow-moving items based on real checkout behavior?","references top products + weak performers, proposes mix changes, notes uncertainty boundaries"
97,"product_mix","For last month, how should I adjust product mix to increase revenue based on real checkout behavior?","references top products + weak performers, proposes mix changes, notes uncertainty boundaries"
98,"product_mix","For last month, how should I adjust product mix to improve margin based on real checkout behavior?","references top products + weak performers, proposes mix changes, notes uncertainty boundaries"
99,"product_mix","For last month, how should I adjust product mix to avoid stockouts based on real checkout behavior?","references top products + weak performers, proposes mix changes, notes uncertainty boundaries"
100,"product_mix","For last month, how should I adjust product mix to reduce slow-moving items based on real checkout behavior?","references top products + weak performers, proposes mix changes, notes uncertainty boundaries"
101,"staffing","Given today transaction patterns, what staffing or shift changes can increase revenue?","uses completed-sales/transaction signals, provides practical staffing guidance, avoids unsupported claims"
102,"staffing","Given today transaction patterns, what staffing or shift changes can improve margin?","uses completed-sales/transaction signals, provides practical staffing guidance, avoids unsupported claims"
103,"staffing","Given today transaction patterns, what staffing or shift changes can avoid stockouts?","uses completed-sales/transaction signals, provides practical staffing guidance, avoids unsupported claims"
104,"staffing","Given today transaction patterns, what staffing or shift changes can reduce slow-moving items?","uses completed-sales/transaction signals, provides practical staffing guidance, avoids unsupported claims"
105,"staffing","Given this week transaction patterns, what staffing or shift changes can increase revenue?","uses completed-sales/transaction signals, provides practical staffing guidance, avoids unsupported claims"
106,"staffing","Given this week transaction patterns, what staffing or shift changes can improve margin?","uses completed-sales/transaction signals, provides practical staffing guidance, avoids unsupported claims"
107,"staffing","Given this week transaction patterns, what staffing or shift changes can avoid stockouts?","uses completed-sales/transaction signals, provides practical staffing guidance, avoids unsupported claims"
108,"staffing","Given this week transaction patterns, what staffing or shift changes can reduce slow-moving items?","uses completed-sales/transaction signals, provides practical staffing guidance, avoids unsupported claims"
109,"staffing","Given last 7 days transaction patterns, what staffing or shift changes can increase revenue?","uses completed-sales/transaction signals, provides practical staffing guidance, avoids unsupported claims"
110,"staffing","Given last 7 days transaction patterns, what staffing or shift changes can improve margin?","uses completed-sales/transaction signals, provides practical staffing guidance, avoids unsupported claims"
111,"staffing","Given last 7 days transaction patterns, what staffing or shift changes can avoid stockouts?","uses completed-sales/transaction signals, provides practical staffing guidance, avoids unsupported claims"
112,"staffing","Given last 7 days transaction patterns, what staffing or shift changes can reduce slow-moving items?","uses completed-sales/transaction signals, provides practical staffing guidance, avoids unsupported claims"
113,"staffing","Given this month transaction patterns, what staffing or shift changes can increase revenue?","uses completed-sales/transaction signals, provides practical staffing guidance, avoids unsupported claims"
114,"staffing","Given this month transaction patterns, what staffing or shift changes can improve margin?","uses completed-sales/transaction signals, provides practical staffing guidance, avoids unsupported claims"
115,"staffing","Given this month transaction patterns, what staffing or shift changes can avoid stockouts?","uses completed-sales/transaction signals, provides practical staffing guidance, avoids unsupported claims"
116,"staffing","Given this month transaction patterns, what staffing or shift changes can reduce slow-moving items?","uses completed-sales/transaction signals, provides practical staffing guidance, avoids unsupported claims"
117,"staffing","Given last month transaction patterns, what staffing or shift changes can increase revenue?","uses completed-sales/transaction signals, provides practical staffing guidance, avoids unsupported claims"
118,"staffing","Given last month transaction patterns, what staffing or shift changes can improve margin?","uses completed-sales/transaction signals, provides practical staffing guidance, avoids unsupported claims"
119,"staffing","Given last month transaction patterns, what staffing or shift changes can avoid stockouts?","uses completed-sales/transaction signals, provides practical staffing guidance, avoids unsupported claims"
120,"staffing","Given last month transaction patterns, what staffing or shift changes can reduce slow-moving items?","uses completed-sales/transaction signals, provides practical staffing guidance, avoids unsupported claims"
